n_sub,rep_i,rep_j,n_shared,ari_k24
60,9,20,37,0.927536231884058
60,9,21,42,0.5780843605111388
60,9,22,40,0.7574303611888578
60,9,23,38,0.9253341830154612
60,9,24,37,0.6486536079636681
60,9,25,37,0.7763224181360201
60,9,26,37,0.9363004527195052
60,9,27,39,0.7657188626351622
60,9,28,34,0.7319978343259339
60,9,29,39,0.6999213892660616
60,9,30,41,0.8900268227261644
60,9,31,40,0.8266785177081909
60,9,32,38,0.8035581222056631
60,9,33,33,0.6533808496670731
60,9,34,37,0.6886309883944778
60,9,35,39,0.8596373404969778
60,9,36,43,0.7890524141492383
60,9,37,37,0.8808757244043787
60,9,38,41,0.6320630749014454
60,9,39,36,0.5418484728282428
60,9,40,38,0.8018730895137338
60,9,41,34,0.805505477742338
60,9,42,38,0.9017836352628883
60,9,43,38,0.6134344340578242
60,9,44,35,0.7944186046511628
60,9,45,40,0.6209470492185678
60,9,46,39,0.6898589260654405
60,9,47,41,0.9131884710054786
60,9,48,37,0.6509433962264151
60,9,49,39,0.7945661214305517
60,10,11,43,0.9206572357437836
60,10,12,37,0.6755966877739893
60,10,13,36,0.5717060537390741
60,10,14,37,0.936234381732012
60,10,15,39,0.6807934521733779
60,10,16,38,0.5580629078060306
60,10,17,35,0.7961048603575304
60,10,18,37,0.681149012567325
60,10,19,37,0.626703640332763
60,10,20,39,0.8010926718352781
60,10,21,36,0.49207202364955654
60,10,22,39,0.7587105177466623
60,10,23,42,0.8024957562967381
60,10,24,38,0.950147736674152
60,10,25,39,0.8009364086425912
60,10,26,41,0.6093170989941769
60,10,27,38,0.6121878562759737
60,10,28,34,0.6372584237373374
60,10,29,33,0.6533808496670731
60,10,30,40,0.5944201391379187
60,10,31,41,0.7309269893355209
60,10,32,37,0.6900739913444087
60,10,33,35,0.7339089751969452
60,10,34,35,0.7413268411442483
60,10,35,38,0.862847109319113
60,10,36,38,0.7774788320012661
60,10,37,40,0.7591477535896248
60,10,38,37,0.6066445182724253
60,10,39,39,0.7420391948067905
60,10,40,36,0.6390977443609023
60,10,41,38,0.75073868337076
60,10,42,37,0.7766599597585513
60,10,43,38,0.7912501237256261
60,10,44,39,0.8965921460269614
60,10,45,34,0.7458745874587459
60,10,46,34,0.8526398739164697
60,10,47,38,0.8145689541477997
60,10,48,39,0.6194796302636083
60,10,49,38,0.7964451967837495
60,11,12,36,0.6968030250945342
60,11,13,36,0.5073891625615764
60,11,14,37,0.6275762901421953
60,11,15,38,0.6842689989362959
60,11,16,40,0.678296468287914
60,11,17,35,0.70636049583418
60,11,18,39,0.7487892289810151
60,11,19,33,0.7418772563176895
60,11,20,38,0.6945771949919033
60,11,21,39,0.44516384778012685
60,11,22,41,0.6502050861361772
60,11,23,39,0.772869695524828
60,11,24,39,0.772051434548102
60,11,25,37,0.6929982046678635
60,11,26,38,0.7630222964187682
60,11,27,37,0.5314183123877917
60,11,28,38,0.6292585170340681
60,11,29,36,0.5575152177306072
60,11,30,35,0.8075990299110751
60,11,31,42,0.8143676426199818
60,11,32,40,0.6911196911196911
60,11,33,40,0.7269511386248065
60,11,34,37,0.6267917182799505
60,11,35,40,0.8854737666405639
60,11,36,43,0.6564449855425354
60,11,37,37,0.852017937219731
60,11,38,38,0.59334523779583
60,11,39,39,0.6511942039663535
60,11,40,39,0.8792530308955807
60,11,41,36,0.7550136103549803
60,11,42,39,0.8341511285574092
60,11,43,40,0.60936521848003
60,11,44,36,0.7893410154843357
60,11,45,36,0.7637854321851723
60,11,46,35,0.7829611316013456
60,11,47,39,0.8563573883161512
60,11,48,36,0.6369922212618842
60,11,49,39,0.6970151287992368
60,12,13,33,0.4056872037914692
60,12,14,38,0.5336055116101046
60,12,15,38,0.5667180277349769
60,12,16,37,0.5567800670819358
60,12,17,37,0.711641500243546
60,12,18,39,0.8097805159799769
60,12,19,41,0.6317269389986722
60,12,20,36,0.7831325301204819
60,12,21,40,0.5603669439477571
60,12,22,38,0.6043691803949657
60,12,23,35,0.8445076802462325
60,12,24,37,0.7905660377358491
60,12,25,37,0.7023463687150838
60,12,26,36,0.7828162291169452
60,12,27,37,0.691470264636053
60,12,28,37,0.581219870048208
60,12,29,34,0.42652190771616905
60,12,30,37,0.5899932840832773
60,12,31,37,0.5630223081704537
60,12,32,40,0.8179140928027582
60,12,33,40,0.6521668626099647
60,12,34,41,0.5707705192629816
60,12,35,40,0.7681007345225603
60,12,36,36,0.6218487394957983
60,12,37,42,0.906211704474279
60,12,38,38,0.577805952222074
60,12,39,41,0.6526895383312156
60,12,40,38,0.5320522096489451
60,12,41,42,0.8037727248821024
60,12,42,39,0.8144252441773103
60,12,43,37,0.6140025501333024
60,12,44,34,0.6889166146808068
60,12,45,36,0.6390446897050841
60,12,46,39,0.7264910871311635
60,12,47,39,0.8119332733439468
60,12,48,37,0.5264360810604907
60,12,49,33,0.6559241706161137
60,13,14,41,0.731480133896085
60,13,15,39,0.5807689469411852
60,13,16,37,0.6578206674708484
60,13,17,40,0.7308694985431682
60,13,18,36,0.5290071770334929
60,13,19,37,0.6630811012300974
60,13,20,39,0.7146097226977063
60,13,21,37,0.5428678397603893
60,13,22,35,0.638215398647108
60,13,23,36,0.765413710657312
60,13,24,39,0.5560025679435052
60,13,25,36,0.8267445857683052
60,13,26,36,0.8361153262518968
60,13,27,39,0.6200233831764199
60,13,28,38,0.6454994056838238
60,13,29,42,0.7279457125231339
60,13,30,39,0.7724288840262582
60,13,31,41,0.7786544850498339
60,13,32,37,0.673579941185575
60,13,33,38,0.6683766731528982
60,13,34,36,0.6723213571257102
60,13,35,37,0.7710651828298887
60,13,36,36,0.7764371894960965
60,13,37,40,0.6225218610239637
60,13,38,36,0.5160582339600556
60,13,39,32,0.6530348687042618
60,13,40,36,0.7400990099009901
