n_sub,rep,k,silhouette,is_best_k
60,2,20,0.15468708551126703,False
60,2,24,0.1608597342743402,False
60,2,28,0.1664303198361485,True
60,3,2,0.09179515203731953,True
60,3,3,0.0839194155262606,False
60,3,5,0.07507066045438102,False
60,3,8,0.07189764157594337,False
60,3,10,0.07514962693900001,False
60,3,15,0.06873890182985085,False
60,3,20,0.06697561291170992,False
60,3,24,0.07315024132150097,False
60,3,28,0.06899181623160548,False
60,4,2,0.1243168860505293,False
60,4,3,0.11122708432856566,False
60,4,5,0.1032702490776282,False
60,4,8,0.13978737299953062,False
60,4,10,0.13921290839681744,False
60,4,15,0.16292321158232995,True
60,4,20,0.1622537110919006,False
60,4,24,0.15827278703019865,False
60,4,28,0.1467227752478562,False
60,5,2,0.06120900464752261,False
60,5,3,0.06704589727587912,False
60,5,5,0.06711205057035899,False
60,5,8,0.07521174163949218,False
60,5,10,0.08690508796710804,False
60,5,15,0.08765727373662927,False
60,5,20,0.10193388561659396,True
60,5,24,0.09810509552076088,False
60,5,28,0.09659779963510985,False
60,6,2,0.059628478506375454,False
60,6,3,0.056810291895572976,False
60,6,5,0.05341256019753468,False
60,6,8,0.067415959681622,False
60,6,10,0.06929653505192036,False
60,6,15,0.07335197259780171,False
60,6,20,0.08363022683693018,False
60,6,24,0.08783709338496254,True
60,6,28,0.08139163438129533,False
60,7,2,0.11128933163316794,False
60,7,3,0.10449642055728654,False
60,7,5,0.1093928555936336,False
60,7,8,0.1039958298610984,False
60,7,10,0.12245927905794189,False
60,7,15,0.13205109920643734,False
60,7,20,0.14789973311826368,True
60,7,24,0.14587363325873695,False
60,7,28,0.13315941513902868,False
60,8,2,0.08297871701142198,True
60,8,3,0.06705869946206461,False
60,8,5,0.06639441226285256,False
60,8,8,0.06800960467407952,False
60,8,10,0.0687101319673407,False
60,8,15,0.06844566606942709,False
60,8,20,0.07682763901037053,False
60,8,24,0.07329445483610295,False
60,8,28,0.07071649773377456,False
60,9,2,0.057549772089150575,False
60,9,3,0.059399108804887975,False
60,9,5,0.0573240204062117,False
60,9,8,0.054779195667392984,False
60,9,10,0.062336416598146115,False
60,9,15,0.07596099301438433,False
60,9,20,0.07973172912250415,True
60,9,24,0.07851421220083235,False
60,9,28,0.07722738781975683,False
60,10,2,0.052085996126967106,False
60,10,3,0.0582250964954443,False
60,10,5,0.057830034368538286,False
60,10,8,0.05939636920999247,False
60,10,10,0.062178709295876926,False
60,10,15,0.07586782114926192,False
60,10,20,0.08643841833892113,False
60,10,24,0.08820229433071368,False
60,10,28,0.08988507654827706,True
60,11,2,0.06818652152517903,False
60,11,3,0.061647752290342056,False
60,11,5,0.06342769562555035,False
60,11,8,0.06339850076312832,False
60,11,10,0.069020284113827,False
60,11,15,0.0721013552191572,True
60,11,20,0.06439152010628436,False
60,11,24,0.06927176031530495,False
