trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,8,15,0.2995554896814599,0.1111111111111111
Insoluble_Oxalate,RandomForest,8,16,0.30019953885025774,0.0
Insoluble_Oxalate,RandomForest,8,17,0.28089285469588304,0.0
Insoluble_Oxalate,RandomForest,8,18,0.32120020582547615,0.0
Insoluble_Oxalate,RandomForest,8,19,0.2447120163206179,0.0
Insoluble_Oxalate,RandomForest,8,20,0.347236994332808,0.1111111111111111
Insoluble_Oxalate,RandomForest,8,21,0.27523486057141733,0.0
Insoluble_Oxalate,RandomForest,8,22,0.3487574461421007,0.0
Insoluble_Oxalate,RandomForest,8,23,0.2885524428491727,0.1111111111111111
Insoluble_Oxalate,RandomForest,8,24,0.38201714000467013,0.0
Insoluble_Oxalate,RandomForest,8,25,0.2214195330054854,0.0
Insoluble_Oxalate,RandomForest,8,26,0.264870574647391,0.0
Insoluble_Oxalate,RandomForest,8,27,0.23815953711640184,0.0
Insoluble_Oxalate,RandomForest,8,28,0.3461173121318178,0.1111111111111111
Insoluble_Oxalate,RandomForest,8,29,0.2831588505653908,0.0
Insoluble_Oxalate,RandomForest,9,10,0.21362892127595015,0.0
Insoluble_Oxalate,RandomForest,9,11,0.30537376759898704,0.0
Insoluble_Oxalate,RandomForest,9,12,0.2919383026948875,0.0
Insoluble_Oxalate,RandomForest,9,13,0.1856324589013226,0.0
Insoluble_Oxalate,RandomForest,9,14,0.35649185297461156,0.0
Insoluble_Oxalate,RandomForest,9,15,0.2417206869984577,0.1111111111111111
Insoluble_Oxalate,RandomForest,9,16,0.18372499646936596,0.0
Insoluble_Oxalate,RandomForest,9,17,0.19936089791364,0.0
Insoluble_Oxalate,RandomForest,9,18,0.270180634227714,0.0
Insoluble_Oxalate,RandomForest,9,19,0.24466131781439068,0.1111111111111111
Insoluble_Oxalate,RandomForest,9,20,0.25528978465229896,0.0
Insoluble_Oxalate,RandomForest,9,21,0.34236715797245126,0.25
Insoluble_Oxalate,RandomForest,9,22,0.16633267101901786,0.0
Insoluble_Oxalate,RandomForest,9,23,0.19807515146769503,0.25
Insoluble_Oxalate,RandomForest,9,24,0.20941503336973494,0.0
Insoluble_Oxalate,RandomForest,9,25,0.16955895180020386,0.1111111111111111
Insoluble_Oxalate,RandomForest,9,26,0.2938462545216585,0.0
Insoluble_Oxalate,RandomForest,9,27,0.25222886618407675,0.0
Insoluble_Oxalate,RandomForest,9,28,0.23882574328585268,0.0
Insoluble_Oxalate,RandomForest,9,29,0.24861634662576257,0.1111111111111111
Insoluble_Oxalate,RandomForest,10,11,0.21621380121341946,0.0
Insoluble_Oxalate,RandomForest,10,12,0.24460371184992638,0.0
Insoluble_Oxalate,RandomForest,10,13,0.30401407219831955,0.0
Insoluble_Oxalate,RandomForest,10,14,0.30035676322659394,0.0
Insoluble_Oxalate,RandomForest,10,15,0.3105396542635377,0.1111111111111111
Insoluble_Oxalate,RandomForest,10,16,0.3541535525169575,0.0
Insoluble_Oxalate,RandomForest,10,17,0.314674075638066,0.0
Insoluble_Oxalate,RandomForest,10,18,0.212245209174335,0.0
Insoluble_Oxalate,RandomForest,10,19,0.2549714263341951,0.0
Insoluble_Oxalate,RandomForest,10,20,0.26035381567154053,0.0
Insoluble_Oxalate,RandomForest,10,21,0.2504874232524061,0.0
Insoluble_Oxalate,RandomForest,10,22,0.3129499964344092,0.1111111111111111
