trait,model,rep,fold,thr_train_fold,n_pos_train,n_pos_test,n_test,auc,pr_auc,mcc,topk,p_pos_class
Seed_Length,RandomForest,0,4,8.90384522515764,13,3,16,0.5128205128205128,0.31666666666666665,0.0,0.2,3.0
Seed_Length,MLP,0,4,8.90384522515764,13,3,16,0.5384615384615384,0.48333333333333334,0.09245003270420485,0.2,3.0
Seed_Length,XGBoost,0,4,8.90384522515764,13,3,16,0.5384615384615384,0.28888888888888886,0.1794871794871795,0.2,3.0
Seed_Length,LightGBM,0,4,8.90384522515764,13,3,16,0.641025641025641,0.40476190476190477,0.4622501635210242,0.4,3.0
Seed_Length,LogReg,1,0,8.82054888480208,13,7,17,0.8285714285714286,0.7952380952380953,0.408491223118783,0.8,7.0
Seed_Length,RandomForest,1,0,8.82054888480208,13,7,17,0.9142857142857141,0.8843537414965985,0.0,0.8,7.0
Seed_Length,MLP,1,0,8.82054888480208,13,7,17,0.8428571428571427,0.7596165739022882,0.2397561119080782,0.8,7.0
Seed_Length,XGBoost,1,0,8.82054888480208,13,7,17,0.8428571428571429,0.7129251700680272,0.5092010548749033,0.8,7.0
Seed_Length,LightGBM,1,0,8.82054888480208,13,7,17,0.8714285714285714,0.8690476190476191,0.5092010548749033,0.8,7.0
Seed_Length,LogReg,1,1,8.90384522515764,13,3,16,0.6666666666666666,0.3611111111111111,-0.18156825980064073,0.4,3.0
Seed_Length,RandomForest,1,1,8.90384522515764,13,3,16,0.5641025641025641,0.2574074074074074,0.0,0.2,3.0
Seed_Length,MLP,1,1,8.90384522515764,13,3,16,0.6923076923076924,0.3194444444444444,0.0,0.2,3.0
